id,Level of Theory,qcfractal id,job status,mb_interaction_energy_kcalmol,reference_ie,IE_error_kcalmol,actual_abs_percent_error,mb_wall_time,predicted_abs_percent_error,accuracy_bucket
C3A,HF/aug-cc-pVTZ/CP,[149],RecordStatusEnum.complete,9.292360657238389,-16.34,25.632360657238387,156.86879227196076,15977.349999999999,140.38818994379685,not_recommended
C2C2PD,HF/aug-cc-pVTZ/CP,[150],RecordStatusEnum.complete,15.981193559637964,-20.65,36.631193559637964,177.39076784328313,4733.610000000001,175.47965800213757,not_recommended
2a,HF/aug-cc-pVTZ/CP,[151],RecordStatusEnum.complete,10.35889483912,-34.15,44.508894839119996,130.3335134381259,16484.57,137.28964765110268,not_recommended
CBH,HF/aug-cc-pVTZ/CP,[152],RecordStatusEnum.complete,7.28061089934096,-11.06,18.34061089934096,165.82830831230524,5470.43,176.73311354238774,not_recommended
Da2,HF/aug-cc-pVTZ/CP,[153],RecordStatusEnum.complete,16.090943100712494,-20.2,36.2909431007125,179.65813416194305,12457.08,186.15516813674776,not_recommended
S8-2,HF/aug-cc-pVTZ/CP,[154],RecordStatusEnum.complete,7.137731381289249,-30.79,37.92773138128925,123.18197915326161,14935.05,133.0496653909612,not_recommended
C3A,PBE-D3/aug-cc-pVTZ/CP,[155],RecordStatusEnum.complete,-13.828467981195383,-16.34,2.5115320188046173,15.370452991460326,24125.89,19.83298811801644,not_recommended
C2C2PD,PBE-D3/aug-cc-pVTZ/CP,[156],RecordStatusEnum.complete,-16.55635461041348,-20.65,4.09364538958652,19.8239486178524,7356.27,17.824260720906477,not_recommended
2a,PBE-D3/aug-cc-pVTZ/CP,[157],RecordStatusEnum.complete,-31.346342944397886,-34.15,2.8036570556021125,8.209830323871486,17385.52,12.70459092728041,not_recommended
CBH,PBE-D3/aug-cc-pVTZ/CP,[158],RecordStatusEnum.complete,-14.652881794243273,-11.06,-3.5928817942432723,32.48536884487588,8466.439999999999,38.77076274878724,not_recommended
Da2,PBE-D3/aug-cc-pVTZ/CP,[159],RecordStatusEnum.complete,-17.39085363066546,-20.2,2.809146369334538,13.906665194725438,12376.76,8.620468696745316,low_accuracy
S8-2,PBE-D3/aug-cc-pVTZ/CP,[317],RecordStatusEnum.complete,-27.864037467548403,-30.79,2.925962532451596,9.50296372994997,13778.61,12.743016968070783,not_recommended
C3A,wB97X-D/aug-cc-pVTZ/CP,[161],RecordStatusEnum.complete,-17.981742236359764,-16.34,-1.6417422363597645,10.047382107464898,47526.76,5.763494837094404,low_accuracy
C2C2PD,wB97X-D/aug-cc-pVTZ/CP,[162],RecordStatusEnum.complete,-23.348226216370282,-20.65,-2.6982262163702835,13.066470781454159,31880.12,4.361949879089799,medium_accuracy
