id,Level of Theory,reference_ie,predicted_ie_error_kcalmol_for_bucketing,predicted_abs_percent_error,accuracy_bucket,walltime_seconds
C2C2PD,B2PLYP-D3/aug-cc-pVTZ/CP,-20.65,1.2228785753250122,5.92193014685236,low_accuracy,5738.23457173397
Da2,B2PLYP-D3/aug-cc-pVTZ/CP,-20.2,1.166050672531128,5.772528081837267,low_accuracy,8719.329070139653
C2C2PD,B3LYP-D3/aug-cc-pVTZ/CP,-20.65,2.1254289150238037,10.292633971059583,not_recommended,5440.750443781873
Da2,B3LYP-D3/aug-cc-pVTZ/CP,-20.2,0.7505757808685303,3.7157216874679717,medium_accuracy,8494.181527164334
2a,HF/aug-cc-pVTZ/CP,-34.15,46.88441467285156,137.28964765110268,not_recommended,5692.54090955431
C2C2PD,HF/aug-cc-pVTZ/CP,-20.65,36.236549377441406,175.47965800213757,not_recommended,2481.2671900410314
C3A,HF/aug-cc-pVTZ/CP,-16.34,22.939430236816406,140.38818994379685,not_recommended,6157.45159700214
CBH,HF/aug-cc-pVTZ/CP,-11.06,19.546682357788086,176.73311354238774,not_recommended,4309.006483108586
Da2,HF/aug-cc-pVTZ/CP,-20.2,37.60334396362305,186.15516813674776,not_recommended,3717.6931233844152
S8-2,HF/aug-cc-pVTZ/CP,-30.79,40.96599197387695,133.0496653909612,not_recommended,4434.206701611205
C2C2PD,MP2/aug-cc-pVTZ/CP,-20.65,-11.648070335388184,56.40712026822365,not_recommended,5187.160308955635
Da2,MP2/aug-cc-pVTZ/CP,-20.2,-7.738656520843506,38.31018079625498,not_recommended,7950.869401098008
2a,PBE-D3/aug-cc-pVTZ/CP,-34.15,4.33861780166626,12.70459092728041,not_recommended,6917.670110147497
C2C2PD,PBE-D3/aug-cc-pVTZ/CP,-20.65,3.6807098388671875,17.824260720906477,not_recommended,3690.7512014582053
C3A,PBE-D3/aug-cc-pVTZ/CP,-16.34,3.2407102584838867,19.83298811801644,not_recommended,7091.382663069918
CBH,PBE-D3/aug-cc-pVTZ/CP,-11.06,-4.288046360015869,38.77076274878724,not_recommended,6604.3290327612385
Da2,PBE-D3/aug-cc-pVTZ/CP,-20.2,1.7413346767425537,8.620468696745316,low_accuracy,5238.614360260906
S8-2,PBE-D3/aug-cc-pVTZ/CP,-30.79,3.923574924468994,12.743016968070783,not_recommended,5585.6638081496285
