id,Level of Theory,walltime_seconds,accuracy_bucket,predicted_abs_percent_error,qcfractal id,job status,submission_time_utc
C3A,HF/aug-cc-pVTZ/CP,6157.45159700214,not_recommended,140.38818994379685,[1],RecordStatusEnum.deleted,2026-06-29T13:41:33.921715+00:00
C2C2PD,HF/aug-cc-pVTZ/CP,2481.2671900410314,not_recommended,175.47965800213757,[2],RecordStatusEnum.deleted,2026-06-29T13:41:33.945888+00:00
2a,HF/aug-cc-pVTZ/CP,5692.54090955431,not_recommended,137.28964765110268,[3],RecordStatusEnum.deleted,2026-06-29T13:41:33.971100+00:00
CBH,HF/aug-cc-pVTZ/CP,4309.006483108586,not_recommended,176.73311354238774,[4],RecordStatusEnum.deleted,2026-06-29T13:41:33.996410+00:00
Da2,HF/aug-cc-pVTZ/CP,3717.6931233844152,not_recommended,186.15516813674776,[5],RecordStatusEnum.deleted,2026-06-29T13:41:34.016284+00:00
S8-2,HF/aug-cc-pVTZ/CP,4434.206701611205,not_recommended,133.0496653909612,[6],RecordStatusEnum.deleted,2026-06-29T13:41:34.040465+00:00
C3A,PBE-D3/aug-cc-pVTZ/CP,7091.382663069918,not_recommended,19.83298811801644,[7],RecordStatusEnum.deleted,2026-06-29T13:41:34.068058+00:00
C2C2PD,PBE-D3/aug-cc-pVTZ/CP,3690.7512014582053,not_recommended,17.824260720906477,[8],RecordStatusEnum.deleted,2026-06-29T13:41:34.092206+00:00
2a,PBE-D3/aug-cc-pVTZ/CP,6917.670110147497,not_recommended,12.70459092728041,[9],RecordStatusEnum.deleted,2026-06-29T13:41:34.119715+00:00
CBH,PBE-D3/aug-cc-pVTZ/CP,6604.3290327612385,not_recommended,38.77076274878724,[10],RecordStatusEnum.deleted,2026-06-29T13:41:34.136951+00:00
Da2,PBE-D3/aug-cc-pVTZ/CP,5238.614360260906,low_accuracy,8.620468696745316,[11],RecordStatusEnum.deleted,2026-06-29T13:41:34.163485+00:00
S8-2,PBE-D3/aug-cc-pVTZ/CP,5585.6638081496285,not_recommended,12.743016968070783,[12],RecordStatusEnum.deleted,2026-06-29T13:41:34.185749+00:00
C3A,wB97X-D/aug-cc-pVTZ/CP,22376.59010029317,low_accuracy,5.763494837094404,[94],RecordStatusEnum.deleted,2026-06-29T13:41:34.209731+00:00
C2C2PD,wB97X-D/aug-cc-pVTZ/CP,9799.23041907429,medium_accuracy,4.361949879089799,[13],RecordStatusEnum.deleted,2026-06-29T13:41:34.235273+00:00
2a,wB97X-D/aug-cc-pVTZ/CP,21209.044032360776,medium_accuracy,3.6821152420379057,[95],RecordStatusEnum.deleted,2026-06-29T13:41:34.263483+00:00
