id,lot,qcf_id,status_after_cancel_request
C3A,HF/aug-cc-pVTZ/CP,1,complete
C2C2PD,HF/aug-cc-pVTZ/CP,2,complete
2a,HF/aug-cc-pVTZ/CP,3,complete
CBH,HF/aug-cc-pVTZ/CP,4,complete
Da2,HF/aug-cc-pVTZ/CP,5,complete
S8-2,HF/aug-cc-pVTZ/CP,6,complete
C3A,PBE-D3/aug-cc-pVTZ/CP,7,complete
C2C2PD,PBE-D3/aug-cc-pVTZ/CP,8,complete
2a,PBE-D3/aug-cc-pVTZ/CP,9,complete
CBH,PBE-D3/aug-cc-pVTZ/CP,10,complete
Da2,PBE-D3/aug-cc-pVTZ/CP,11,complete
S8-2,PBE-D3/aug-cc-pVTZ/CP,12,complete
C2C2PD,wB97X-D/aug-cc-pVTZ/CP,13,complete
CBH,wB97X-D/aug-cc-pVTZ/CP,14,cancelled
Da2,wB97X-D/aug-cc-pVTZ/CP,15,complete
S8-2,wB97X-D/aug-cc-pVTZ/CP,16,cancelled
C2C2PD,wB97X-V/aug-cc-pVTZ/CP,17,cancelled
C2C2PD,MP2/aug-cc-pVTZ/CP,18,cancelled
2a,MP2/aug-cc-pVTZ/CP,19,cancelled
CBH,MP2/aug-cc-pVTZ/CP,20,cancelled
Da2,MP2/aug-cc-pVTZ/CP,21,cancelled
S8-2,MP2/aug-cc-pVTZ/CP,22,cancelled
C3A,B3LYP-D3/aug-cc-pVTZ/CP,23,cancelled
C2C2PD,B3LYP-D3/aug-cc-pVTZ/CP,24,cancelled
2a,B3LYP-D3/aug-cc-pVTZ/CP,25,cancelled
CBH,B3LYP-D3/aug-cc-pVTZ/CP,26,cancelled
Da2,B3LYP-D3/aug-cc-pVTZ/CP,27,cancelled
S8-2,B3LYP-D3/aug-cc-pVTZ/CP,28,cancelled
C2C2PD,B2PLYP-D3/aug-cc-pVTZ/CP,29,cancelled
2a,B2PLYP-D3/aug-cc-pVTZ/CP,30,cancelled
CBH,B2PLYP-D3/aug-cc-pVTZ/CP,31,cancelled
Da2,B2PLYP-D3/aug-cc-pVTZ/CP,32,cancelled
S8-2,B2PLYP-D3/aug-cc-pVTZ/CP,33,cancelled
C3A,wB97X-D/aug-cc-pVTZ/CP,94,cancelled
2a,wB97X-D/aug-cc-pVTZ/CP,95,cancelled
C3A,wB97X-V/aug-cc-pVTZ/CP,96,cancelled
2a,wB97X-V/aug-cc-pVTZ/CP,97,cancelled
CBH,wB97X-V/aug-cc-pVTZ/CP,98,cancelled
Da2,wB97X-V/aug-cc-pVTZ/CP,99,cancelled
S8-2,wB97X-V/aug-cc-pVTZ/CP,100,cancelled
C3A,MP2/aug-cc-pVTZ/CP,101,cancelled
C3A,B2PLYP-D3/aug-cc-pVTZ/CP,102,cancelled
