id,n_atoms,dimer_tvars,monA_tvars,monB_tvars,Level of Theory,ERROR ESTIMATES (kcal/mol),ESTIMATED CPU TIMES (log10(s)),walltime_seconds,qcfractal id,job status,mb_interaction_energy,mb_wall_time,mb_wall_time_log10_s,mb_wall_time_hours,psi4 output,submitted_unix_time,mb_ie_kcalmol,reference_ie,IE_error_kcalmol
2a,92,[    193    3257 1191810    7596],[    141    3309 1191810    7596],[     52    3398 1191810    7596],HF/aug-cc-pVTZ/CP,69.15465545654297,3.75530616036401,5692.54090955431,[151],complete,0.01650794970964853,16484.57,4.217077623055585,4.579047222222222,,1781290684.678278,10.358887014351838,-34.15,44.51
2a,92,[    193    3257 1191810    7596],[    141    3309 1191810    7596],[     52    3398 1191810    7596],PBE-D3/aug-cc-pVTZ/CP,-24.18235969543457,3.839959904098456,6917.6710110899785,[157],complete,-0.04995357718598825,17385.52,4.240187684938934,4.829311111111111,,1781290684.678278,-31.346319266402304,-34.15,2.8
2a,92,[    193    3257 1191810    7596],[    141    3309 1191810    7596],[     52    3398 1191810    7596],wB97X-D/aug-cc-pVTZ/CP,3.045236587524414,4.326521093750472,21209.044032449,[163],complete,-0.06210322964761872,47862.17,4.679992384993287,13.295047222222221,,1781290684.678278,-38.97033553294757,-34.15,-4.82
2a,92,[    193    3257 1191810    7596],[    141    3309 1191810    7596],[     52    3398 1191810    7596],wB97X-V/aug-cc-pVTZ/CP,-0.1868604719638824,4.4901484576227615,30913.519882725785,[169],complete,-0.05872524402957424,54053.14,4.732820927615204,15.014761111111111,,1781290684.678278,-36.8506191557541,-34.15,-2.7
2a,92,[    193    3257 1191810    7596],[    141    3309 1191810    7596],[     52    3398 1191810    7596],MP2/aug-cc-pVTZ/CP,5.158796787261963,4.104504318787213,12720.5039976906,[175],complete,-0.07770311109652539,31295.93,4.495487861716668,8.69331388888889,,1781290684.678278,-48.75940154106955,-34.15,-14.61
2a,92,[    193    3257 1191810    7596],[    141    3309 1191810    7596],[     52    3398 1191810    7596],B3LYP-D3/aug-cc-pVTZ/CP,2.216435670852661,4.05969522789423,11473.481716054808,321,complete,-0.05603936252418862,35966.08,4.555893105954702,9.990577777777778,,1781290684.678278,-35.165204338191074,-34.15,-1.02
2a,92,[    193    3257 1191810    7596],[    141    3309 1191810    7596],[     52    3398 1191810    7596],B2PLYP-D3/aug-cc-pVTZ/CP,3.857954978942871,4.136204240238771,13683.72193101479,326,complete,-0.05707605666702875,30062.87,4.478030438847868,8.350797222222221,,1781290684.678278,-35.815739243070546,-34.15,-1.67
C2C2PD,72,[   156   2604 939386   6096],[    78   2682 939386   6096],[    78   2682 939386   6096],HF/aug-cc-pVTZ/CP,26.298044204711918,3.3946735328786173,2481.2671900410314,[150],complete,0.02546765303441134,4733.610000000001,3.6751924737398514,1.3148916666666668,,1781290684.678278,15.981181487970426,-20.65,36.63
C2C2PD,72,[   156   2604 939386   6096],[    78   2682 939386   6096],[    78   2682 939386   6096],PBE-D3/aug-cc-pVTZ/CP,-20.25238800048828,3.5671144318496384,3690.7483294440435,[156],complete,-0.026384230511894202,7356.27,3.8666576609355583,2.0434083333333333,,1781290684.678278,-16.55634210428822,-20.65,4.09
C2C2PD,72,[   156   2604 939386   6096],[    78   2682 939386   6096],[    78   2682 939386   6096],wB97X-D/aug-cc-pVTZ/CP,0.1837363541126251,3.99119196977384,9799.23041877589,[162],complete,-0.03720776686850513,31880.12,4.50351994745556,8.855588888888889,,1781290684.678278,-23.348208579888787,-20.65,-2.7
