qcfractal_id,singlepoint_id,stdout_path,psi4_wall_time_seconds
172,262,psi4_outputs/wB97X-V_aug-cc-pVTZ_CP__S8-2__mbid_172__spid_262.stdout.txt,12504.49
320,340,psi4_outputs/MP2_aug-cc-pVTZ_CP__S8-2__mbid_320__spid_340.stdout.txt,8236.78
152,200,psi4_outputs/HF_aug-cc-pVTZ_CP__CBH__mbid_152__spid_200.stdout.txt,1678.26
326,358,psi4_outputs/B2PLYP-D3_aug-cc-pVTZ_CP__2a__mbid_326__spid_358.stdout.txt,9953.15
157,216,psi4_outputs/PBE-D3_aug-cc-pVTZ_CP__2a__mbid_157__spid_216.stdout.txt,6643.22
169,253,psi4_outputs/wB97X-V_aug-cc-pVTZ_CP__2a__mbid_169__spid_253.stdout.txt,16841.74
161,228,psi4_outputs/wB97X-D_aug-cc-pVTZ_CP__C3A__mbid_161__spid_228.stdout.txt,17610.1
184,296,psi4_outputs/B3LYP-D3_aug-cc-pVTZ_CP__S8-2__mbid_184__spid_296.stdout.txt,6178.8
326,359,psi4_outputs/B2PLYP-D3_aug-cc-pVTZ_CP__2a__mbid_326__spid_359.stdout.txt,12825.39
167,245,psi4_outputs/wB97X-V_aug-cc-pVTZ_CP__C3A__mbid_167__spid_245.stdout.txt,15648.96
150,195,psi4_outputs/HF_aug-cc-pVTZ_CP__C2C2PD__mbid_150__spid_195.stdout.txt,1788.4
181,289,psi4_outputs/B3LYP-D3_aug-cc-pVTZ_CP__2a__mbid_181__spid_289.stdout.txt,6186.25
174,268,psi4_outputs/MP2_aug-cc-pVTZ_CP__C2C2PD__mbid_174__spid_268.stdout.txt,2499.04
317,330,psi4_outputs/PBE-D3_aug-cc-pVTZ_CP__S8-2__mbid_317__spid_330.stdout.txt,4099.5
180,284,psi4_outputs/B3LYP-D3_aug-cc-pVTZ_CP__C2C2PD__mbid_180__spid_284.stdout.txt,3251.04
167,246,psi4_outputs/wB97X-V_aug-cc-pVTZ_CP__C3A__mbid_167__spid_246.stdout.txt,21083.76
173,265,psi4_outputs/MP2_aug-cc-pVTZ_CP__C3A__mbid_173__spid_265.stdout.txt,17137.45
318,335,psi4_outputs/wB97X-V_aug-cc-pVTZ_CP__CBH__mbid_318__spid_335.stdout.txt,13942.71
171,259,psi4_outputs/wB97X-V_aug-cc-pVTZ_CP__Da2__mbid_171__spid_259.stdout.txt,13004.48
179,281,psi4_outputs/B3LYP-D3_aug-cc-pVTZ_CP__C3A__mbid_179__spid_281.stdout.txt,6282.9
175,271,psi4_outputs/MP2_aug-cc-pVTZ_CP__2a__mbid_175__spid_271.stdout.txt,7210.11
321,344,psi4_outputs/B3LYP-D3_aug-cc-pVTZ_CP__2a__mbid_321__spid_344.stdout.txt,8472.57
174,266,psi4_outputs/MP2_aug-cc-pVTZ_CP__C2C2PD__mbid_174__spid_266.stdout.txt,2362.6
161,229,psi4_outputs/wB97X-D_aug-cc-pVTZ_CP__C3A__mbid_161__spid_229.stdout.txt,17583.38
165,239,psi4_outputs/wB97X-D_aug-cc-pVTZ_CP__Da2__mbid_165__spid_239.stdout.txt,11118.81
171,257,psi4_outputs/wB97X-V_aug-cc-pVTZ_CP__Da2__mbid_171__spid_257.stdout.txt,13099.61
317,332,psi4_outputs/PBE-D3_aug-cc-pVTZ_CP__S8-2__mbid_317__spid_332.stdout.txt,5083.98
161,227,psi4_outputs/wB97X-D_aug-cc-pVTZ_CP__C3A__mbid_161__spid_227.stdout.txt,12333.28
178,280,psi4_outputs/MP2_aug-cc-pVTZ_CP__S8-2__mbid_178__spid_280.stdout.txt,6143.35
155,210,psi4_outputs/PBE-D3_aug-cc-pVTZ_CP__C3A__mbid_155__spid_210.stdout.txt,14101.58
150,194,psi4_outputs/HF_aug-cc-pVTZ_CP__C2C2PD__mbid_150__spid_194.stdout.txt,1474.93
162,231,psi4_outputs/wB97X-D_aug-cc-pVTZ_CP__C2C2PD__mbid_162__spid_231.stdout.txt,8653.64
172,261,psi4_outputs/wB97X-V_aug-cc-pVTZ_CP__S8-2__mbid_172__spid_261.stdout.txt,16271.79
176,273,psi4_outputs/MP2_aug-cc-pVTZ_CP__CBH__mbid_176__spid_273.stdout.txt,5361.73
167,247,psi4_outputs/wB97X-V_aug-cc-pVTZ_CP__C3A__mbid_167__spid_247.stdout.txt,19058.72
151,197,psi4_outputs/HF_aug-cc-pVTZ_CP__2a__mbid_151__spid_197.stdout.txt,5110.31
159,223,psi4_outputs/PBE-D3_aug-cc-pVTZ_CP__Da2__mbid_159__spid_223.stdout.txt,3866.55
329,367,psi4_outputs/B2PLYP-D3_aug-cc-pVTZ_CP__S8-2__mbid_329__spid_367.stdout.txt,8253.15
189,311,psi4_outputs/B2PLYP-D3_aug-cc-pVTZ_CP__Da2__mbid_189__spid_311.stdout.txt,5566.16
168,250,psi4_outputs/wB97X-V_aug-cc-pVTZ_CP__C2C2PD__mbid_168__spid_250.stdout.txt,8813.06
321,343,psi4_outputs/B3LYP-D3_aug-cc-pVTZ_CP__2a__mbid_321__spid_343.stdout.txt,15091.09
327,360,psi4_outputs/B2PLYP-D3_aug-cc-pVTZ_CP__CBH__mbid_327__spid_360.stdout.txt,4949.17
183,294,psi4_outputs/B3LYP-D3_aug-cc-pVTZ_CP__Da2__mbid_183__spid_294.stdout.txt,5754.71
324,352,psi4_outputs/B2PLYP-D3_aug-cc-pVTZ_CP__C3A__mbid_324__spid_352.stdout.txt,6324.95
160,226,psi4_outputs/PBE-D3_aug-cc-pVTZ_CP__S8-2__mbid_160__spid_226.stdout.txt,4488.38
328,363,psi4_outputs/B2PLYP-D3_aug-cc-pVTZ_CP__Da2__mbid_328__spid_363.stdout.txt,5625.2
154,208,psi4_outputs/HF_aug-cc-pVTZ_CP__S8-2__mbid_154__spid_208.stdout.txt,5129.97
151,199,psi4_outputs/HF_aug-cc-pVTZ_CP__2a__mbid_151__spid_199.stdout.txt,5118.76
329,366,psi4_outputs/B2PLYP-D3_aug-cc-pVTZ_CP__S8-2__mbid_329__spid_366.stdout.txt,6230.49
151,198,psi4_outputs/HF_aug-cc-pVTZ_CP__2a__mbid_151__spid_198.stdout.txt,6255.5
156,212,psi4_outputs/PBE-D3_aug-cc-pVTZ_CP__C2C2PD__mbid_156__spid_212.stdout.txt,2301.78
154,207,psi4_outputs/HF_aug-cc-pVTZ_CP__S8-2__mbid_154__spid_207.stdout.txt,5148.95
323,350,psi4_outputs/B3LYP-D3_aug-cc-pVTZ_CP__S8-2__mbid_323__spid_350.stdout.txt,6777.05
155,211,psi4_outputs/PBE-D3_aug-cc-pVTZ_CP__C3A__mbid_155__spid_211.stdout.txt,5421.11
321,342,psi4_outputs/B3LYP-D3_aug-cc-pVTZ_CP__2a__mbid_321__spid_342.stdout.txt,12402.42
165,240,psi4_outputs/wB97X-D_aug-cc-pVTZ_CP__Da2__mbid_165__spid_240.stdout.txt,15123.22
164,236,psi4_outputs/wB97X-D_aug-cc-pVTZ_CP__CBH__mbid_164__spid_236.stdout.txt,9278.23
319,336,psi4_outputs/MP2_aug-cc-pVTZ_CP__Da2__mbid_319__spid_336.stdout.txt,6219.49
189,312,psi4_outputs/B2PLYP-D3_aug-cc-pVTZ_CP__Da2__mbid_189__spid_312.stdout.txt,8369.76
190,316,psi4_outputs/B2PLYP-D3_aug-cc-pVTZ_CP__S8-2__mbid_190__spid_316.stdout.txt,5784.84
322,346,psi4_outputs/B3LYP-D3_aug-cc-pVTZ_CP__Da2__mbid_322__spid_346.stdout.txt,5426.01
329,368,psi4_outputs/B2PLYP-D3_aug-cc-pVTZ_CP__S8-2__mbid_329__spid_368.stdout.txt,10380.4
322,347,psi4_outputs/B3LYP-D3_aug-cc-pVTZ_CP__Da2__mbid_322__spid_347.stdout.txt,6065.53
149,192,psi4_outputs/HF_aug-cc-pVTZ_CP__C3A__mbid_149__spid_192.stdout.txt,5785.73
