id,lot,manybody_id,manybody_status_before_delete,child_singlepoint_ids,child_singlepoint_statuses
C3A,HF/aug-cc-pVTZ/CP,1,complete,"[36, 35, 34]","['complete', 'complete', 'complete']"
C2C2PD,HF/aug-cc-pVTZ/CP,2,complete,"[39, 38, 37]","['complete', 'complete', 'complete']"
2a,HF/aug-cc-pVTZ/CP,3,complete,"[40, 41, 42]","['complete', 'complete', 'complete']"
CBH,HF/aug-cc-pVTZ/CP,4,complete,"[43, 44, 45]","['complete', 'complete', 'complete']"
Da2,HF/aug-cc-pVTZ/CP,5,complete,"[47, 46, 48]","['complete', 'complete', 'complete']"
S8-2,HF/aug-cc-pVTZ/CP,6,complete,"[49, 51, 50]","['complete', 'complete', 'complete']"
C3A,PBE-D3/aug-cc-pVTZ/CP,7,complete,"[53, 54, 52]","['complete', 'complete', 'complete']"
C2C2PD,PBE-D3/aug-cc-pVTZ/CP,8,complete,"[56, 55, 57]","['complete', 'complete', 'complete']"
2a,PBE-D3/aug-cc-pVTZ/CP,9,complete,"[59, 60, 58]","['complete', 'complete', 'complete']"
CBH,PBE-D3/aug-cc-pVTZ/CP,10,complete,"[63, 61, 62]","['complete', 'complete', 'complete']"
Da2,PBE-D3/aug-cc-pVTZ/CP,11,complete,"[64, 65, 66]","['complete', 'complete', 'complete']"
S8-2,PBE-D3/aug-cc-pVTZ/CP,12,complete,"[69, 67, 68]","['complete', 'complete', 'complete']"
C2C2PD,wB97X-D/aug-cc-pVTZ/CP,13,complete,"[72, 71, 70]","['complete', 'complete', 'complete']"
CBH,wB97X-D/aug-cc-pVTZ/CP,14,cancelled,"[73, 74, 75]","['complete', 'cancelled', 'cancelled']"
Da2,wB97X-D/aug-cc-pVTZ/CP,15,complete,"[76, 78, 77]","['complete', 'complete', 'complete']"
S8-2,wB97X-D/aug-cc-pVTZ/CP,16,cancelled,"[80, 79, 81]","['cancelled', 'cancelled', 'cancelled']"
C2C2PD,wB97X-V/aug-cc-pVTZ/CP,17,cancelled,"[83, 82, 84]","['cancelled', 'cancelled', 'cancelled']"
C2C2PD,MP2/aug-cc-pVTZ/CP,18,cancelled,"[86, 85, 87]","['cancelled', 'cancelled', 'cancelled']"
2a,MP2/aug-cc-pVTZ/CP,19,cancelled,"[89, 90, 88]","['cancelled', 'cancelled', 'cancelled']"
CBH,MP2/aug-cc-pVTZ/CP,20,cancelled,"[93, 91, 92]","['cancelled', 'cancelled', 'cancelled']"
Da2,MP2/aug-cc-pVTZ/CP,21,cancelled,"[103, 104, 105]","['cancelled', 'cancelled', 'cancelled']"
S8-2,MP2/aug-cc-pVTZ/CP,22,cancelled,"[106, 108, 107]","['cancelled', 'cancelled', 'cancelled']"
C3A,B3LYP-D3/aug-cc-pVTZ/CP,23,cancelled,"[109, 110, 111]","['cancelled', 'cancelled', 'cancelled']"
C2C2PD,B3LYP-D3/aug-cc-pVTZ/CP,24,cancelled,"[114, 113, 112]","['cancelled', 'cancelled', 'cancelled']"
2a,B3LYP-D3/aug-cc-pVTZ/CP,25,cancelled,"[117, 115, 116]","['cancelled', 'cancelled', 'cancelled']"
CBH,B3LYP-D3/aug-cc-pVTZ/CP,26,cancelled,"[118, 119, 120]","['cancelled', 'cancelled', 'cancelled']"
Da2,B3LYP-D3/aug-cc-pVTZ/CP,27,cancelled,"[121, 122, 123]","['cancelled', 'cancelled', 'cancelled']"
S8-2,B3LYP-D3/aug-cc-pVTZ/CP,28,cancelled,"[126, 125, 124]","['cancelled', 'cancelled', 'cancelled']"
C2C2PD,B2PLYP-D3/aug-cc-pVTZ/CP,29,cancelled,"[128, 127, 129]","['cancelled', 'cancelled', 'cancelled']"
2a,B2PLYP-D3/aug-cc-pVTZ/CP,30,cancelled,"[130, 131, 132]","['cancelled', 'cancelled', 'cancelled']"
CBH,B2PLYP-D3/aug-cc-pVTZ/CP,31,cancelled,"[134, 135, 133]","['cancelled', 'cancelled', 'cancelled']"
Da2,B2PLYP-D3/aug-cc-pVTZ/CP,32,cancelled,"[136, 137, 138]","['cancelled', 'cancelled', 'cancelled']"
S8-2,B2PLYP-D3/aug-cc-pVTZ/CP,33,cancelled,"[139, 140, 141]","['cancelled', 'cancelled', 'cancelled']"
C3A,wB97X-D/aug-cc-pVTZ/CP,94,cancelled,"[143, 144, 142]","['cancelled', 'cancelled', 'cancelled']"
2a,wB97X-D/aug-cc-pVTZ/CP,95,cancelled,[],[]
C3A,wB97X-V/aug-cc-pVTZ/CP,96,cancelled,[],[]
2a,wB97X-V/aug-cc-pVTZ/CP,97,cancelled,[],[]
CBH,wB97X-V/aug-cc-pVTZ/CP,98,cancelled,[],[]
Da2,wB97X-V/aug-cc-pVTZ/CP,99,cancelled,[],[]
S8-2,wB97X-V/aug-cc-pVTZ/CP,100,cancelled,[],[]
C3A,MP2/aug-cc-pVTZ/CP,101,cancelled,[],[]
C3A,B2PLYP-D3/aug-cc-pVTZ/CP,102,cancelled,[],[]
