id,Level of Theory,qcfractal_id,error
S8-2,PBE-D3/aug-cc-pVTZ/CP,160,"{'error_type': 'service_iteration_error', 'error_message': 'Some task(s) did not complete successfully'}"
CBH,wB97X-V/aug-cc-pVTZ/CP,170,"{'error_type': 'service_iteration_error', 'error_message': 'Some task(s) did not complete successfully'}"
Da2,MP2/aug-cc-pVTZ/CP,177,"{'error_type': 'service_iteration_error', 'error_message': 'Some task(s) did not complete successfully'}"
S8-2,MP2/aug-cc-pVTZ/CP,178,"{'error_type': 'service_iteration_error', 'error_message': 'Some task(s) did not complete successfully'}"
2a,B3LYP-D3/aug-cc-pVTZ/CP,181,"{'error_type': 'service_iteration_error', 'error_message': 'Some task(s) did not complete successfully'}"
Da2,B3LYP-D3/aug-cc-pVTZ/CP,183,"{'error_type': 'service_iteration_error', 'error_message': 'Some task(s) did not complete successfully'}"
S8-2,B3LYP-D3/aug-cc-pVTZ/CP,184,"{'error_type': 'service_iteration_error', 'error_message': 'Some task(s) did not complete successfully'}"
C3A,B2PLYP-D3/aug-cc-pVTZ/CP,185,"{'error_type': 'service_iteration_error', 'error_message': 'Some task(s) did not complete successfully'}"
C2C2PD,B2PLYP-D3/aug-cc-pVTZ/CP,186,"{'error_type': 'service_iteration_error', 'error_message': 'Some task(s) did not complete successfully'}"
2a,B2PLYP-D3/aug-cc-pVTZ/CP,187,"{'error_type': 'service_iteration_error', 'error_message': 'Some task(s) did not complete successfully'}"
CBH,B2PLYP-D3/aug-cc-pVTZ/CP,188,"{'error_type': 'service_iteration_error', 'error_message': 'Some task(s) did not complete successfully'}"
Da2,B2PLYP-D3/aug-cc-pVTZ/CP,189,"{'error_type': 'service_iteration_error', 'error_message': 'Some task(s) did not complete successfully'}"
S8-2,B2PLYP-D3/aug-cc-pVTZ/CP,190,"{'error_type': 'service_iteration_error', 'error_message': 'Some task(s) did not complete successfully'}"
