id,Level of Theory,qcfractal_id,status,n_clusters
C3A,HF/aug-cc-pVTZ/CP,149,complete,3
C2C2PD,HF/aug-cc-pVTZ/CP,150,complete,3
2a,HF/aug-cc-pVTZ/CP,151,complete,3
CBH,HF/aug-cc-pVTZ/CP,152,complete,3
Da2,HF/aug-cc-pVTZ/CP,153,complete,3
S8-2,HF/aug-cc-pVTZ/CP,154,complete,3
C3A,PBE-D3/aug-cc-pVTZ/CP,155,complete,3
C2C2PD,PBE-D3/aug-cc-pVTZ/CP,156,complete,3
2a,PBE-D3/aug-cc-pVTZ/CP,157,complete,3
CBH,PBE-D3/aug-cc-pVTZ/CP,158,complete,3
Da2,PBE-D3/aug-cc-pVTZ/CP,159,complete,3
S8-2,PBE-D3/aug-cc-pVTZ/CP,160,error,3
C3A,wB97X-D/aug-cc-pVTZ/CP,161,complete,3
C2C2PD,wB97X-D/aug-cc-pVTZ/CP,162,complete,3
2a,wB97X-D/aug-cc-pVTZ/CP,163,complete,3
CBH,wB97X-D/aug-cc-pVTZ/CP,164,complete,3
Da2,wB97X-D/aug-cc-pVTZ/CP,165,complete,3
S8-2,wB97X-D/aug-cc-pVTZ/CP,166,complete,3
C3A,wB97X-V/aug-cc-pVTZ/CP,167,complete,3
C2C2PD,wB97X-V/aug-cc-pVTZ/CP,168,complete,3
2a,wB97X-V/aug-cc-pVTZ/CP,169,complete,3
CBH,wB97X-V/aug-cc-pVTZ/CP,170,error,3
Da2,wB97X-V/aug-cc-pVTZ/CP,171,complete,3
S8-2,wB97X-V/aug-cc-pVTZ/CP,172,complete,3
C3A,MP2/aug-cc-pVTZ/CP,173,complete,3
C2C2PD,MP2/aug-cc-pVTZ/CP,174,complete,3
2a,MP2/aug-cc-pVTZ/CP,175,complete,3
CBH,MP2/aug-cc-pVTZ/CP,176,complete,3
Da2,MP2/aug-cc-pVTZ/CP,177,error,3
S8-2,MP2/aug-cc-pVTZ/CP,178,error,3
C3A,B3LYP-D3/aug-cc-pVTZ/CP,179,complete,3
C2C2PD,B3LYP-D3/aug-cc-pVTZ/CP,180,complete,3
2a,B3LYP-D3/aug-cc-pVTZ/CP,181,error,3
CBH,B3LYP-D3/aug-cc-pVTZ/CP,182,complete,3
Da2,B3LYP-D3/aug-cc-pVTZ/CP,183,error,3
S8-2,B3LYP-D3/aug-cc-pVTZ/CP,184,error,3
C3A,B2PLYP-D3/aug-cc-pVTZ/CP,185,error,3
C2C2PD,B2PLYP-D3/aug-cc-pVTZ/CP,186,error,3
2a,B2PLYP-D3/aug-cc-pVTZ/CP,187,error,3
CBH,B2PLYP-D3/aug-cc-pVTZ/CP,188,error,3
Da2,B2PLYP-D3/aug-cc-pVTZ/CP,189,error,3
S8-2,B2PLYP-D3/aug-cc-pVTZ/CP,190,error,3
