id,expected_lot,qcf_id,record_exists,status,child_statuses,completed_ie_present,server_levels,server_bsse_correction
C3A,HF/aug-cc-pVTZ/CP,1,True,complete,{'complete': 3},True,None,None
C2C2PD,HF/aug-cc-pVTZ/CP,2,True,complete,{'complete': 3},True,None,None
2a,HF/aug-cc-pVTZ/CP,3,True,complete,{'complete': 3},True,None,None
CBH,HF/aug-cc-pVTZ/CP,4,True,complete,{'complete': 3},True,None,None
Da2,HF/aug-cc-pVTZ/CP,5,True,complete,{'complete': 3},True,None,None
S8-2,HF/aug-cc-pVTZ/CP,6,True,complete,{'complete': 3},True,None,None
C3A,PBE-D3/aug-cc-pVTZ/CP,7,True,complete,{'complete': 3},True,None,None
C2C2PD,PBE-D3/aug-cc-pVTZ/CP,8,True,complete,{'complete': 3},True,None,None
2a,PBE-D3/aug-cc-pVTZ/CP,9,True,complete,{'complete': 3},True,None,None
CBH,PBE-D3/aug-cc-pVTZ/CP,10,True,complete,{'complete': 3},True,None,None
Da2,PBE-D3/aug-cc-pVTZ/CP,11,True,complete,{'complete': 3},True,None,None
S8-2,PBE-D3/aug-cc-pVTZ/CP,12,True,complete,{'complete': 3},True,None,None
C2C2PD,wB97X-D/aug-cc-pVTZ/CP,13,True,complete,{'complete': 3},True,None,None
CBH,wB97X-D/aug-cc-pVTZ/CP,14,True,running,"{'running': 1, 'waiting': 2}",False,None,None
Da2,wB97X-D/aug-cc-pVTZ/CP,15,True,running,"{'complete': 1, 'running': 2}",False,None,None
S8-2,wB97X-D/aug-cc-pVTZ/CP,16,True,running,{'waiting': 3},False,None,None
C2C2PD,wB97X-V/aug-cc-pVTZ/CP,17,True,running,{'waiting': 3},False,None,None
C2C2PD,MP2/aug-cc-pVTZ/CP,18,True,running,{'waiting': 3},False,None,None
2a,MP2/aug-cc-pVTZ/CP,19,True,running,{'waiting': 3},False,None,None
CBH,MP2/aug-cc-pVTZ/CP,20,True,running,{'waiting': 3},False,None,None
Da2,MP2/aug-cc-pVTZ/CP,21,True,running,{'waiting': 3},False,None,None
S8-2,MP2/aug-cc-pVTZ/CP,22,True,running,{'waiting': 3},False,None,None
C3A,B3LYP-D3/aug-cc-pVTZ/CP,23,True,running,{'waiting': 3},False,None,None
C2C2PD,B3LYP-D3/aug-cc-pVTZ/CP,24,True,running,{'waiting': 3},False,None,None
2a,B3LYP-D3/aug-cc-pVTZ/CP,25,True,running,{'waiting': 3},False,None,None
CBH,B3LYP-D3/aug-cc-pVTZ/CP,26,True,running,{'waiting': 3},False,None,None
Da2,B3LYP-D3/aug-cc-pVTZ/CP,27,True,running,{'waiting': 3},False,None,None
S8-2,B3LYP-D3/aug-cc-pVTZ/CP,28,True,running,{'waiting': 3},False,None,None
C2C2PD,B2PLYP-D3/aug-cc-pVTZ/CP,29,True,running,{'waiting': 3},False,None,None
2a,B2PLYP-D3/aug-cc-pVTZ/CP,30,True,running,{'waiting': 3},False,None,None
CBH,B2PLYP-D3/aug-cc-pVTZ/CP,31,True,running,{'waiting': 3},False,None,None
Da2,B2PLYP-D3/aug-cc-pVTZ/CP,32,True,running,{'waiting': 3},False,None,None
S8-2,B2PLYP-D3/aug-cc-pVTZ/CP,33,True,running,{'waiting': 3},False,None,None
C3A,wB97X-D/aug-cc-pVTZ/CP,94,True,waiting,{},False,None,None
2a,wB97X-D/aug-cc-pVTZ/CP,95,True,waiting,{},False,None,None
C3A,wB97X-V/aug-cc-pVTZ/CP,96,True,waiting,{},False,None,None
2a,wB97X-V/aug-cc-pVTZ/CP,97,True,waiting,{},False,None,None
CBH,wB97X-V/aug-cc-pVTZ/CP,98,True,waiting,{},False,None,None
Da2,wB97X-V/aug-cc-pVTZ/CP,99,True,waiting,{},False,None,None
S8-2,wB97X-V/aug-cc-pVTZ/CP,100,True,waiting,{},False,None,None
C3A,MP2/aug-cc-pVTZ/CP,101,True,waiting,{},False,None,None
C3A,B2PLYP-D3/aug-cc-pVTZ/CP,102,True,waiting,{},False,None,None
