id,expected_lot,qcf_id,expected_method,server_method,expected_basis,server_basis,expected_bsse,server_bsse,matches
C3A,HF/aug-cc-pVTZ/CP,1,hf,hf,aug-cc-pvtz,aug-cc-pvtz,cp,cp,True
C2C2PD,HF/aug-cc-pVTZ/CP,2,hf,hf,aug-cc-pvtz,aug-cc-pvtz,cp,cp,True
2a,HF/aug-cc-pVTZ/CP,3,hf,hf,aug-cc-pvtz,aug-cc-pvtz,cp,cp,True
CBH,HF/aug-cc-pVTZ/CP,4,hf,hf,aug-cc-pvtz,aug-cc-pvtz,cp,cp,True
Da2,HF/aug-cc-pVTZ/CP,5,hf,hf,aug-cc-pvtz,aug-cc-pvtz,cp,cp,True
S8-2,HF/aug-cc-pVTZ/CP,6,hf,hf,aug-cc-pvtz,aug-cc-pvtz,cp,cp,True
C3A,PBE-D3/aug-cc-pVTZ/CP,7,pbe-d3,pbe-d3,aug-cc-pvtz,aug-cc-pvtz,cp,cp,True
C2C2PD,PBE-D3/aug-cc-pVTZ/CP,8,pbe-d3,pbe-d3,aug-cc-pvtz,aug-cc-pvtz,cp,cp,True
2a,PBE-D3/aug-cc-pVTZ/CP,9,pbe-d3,pbe-d3,aug-cc-pvtz,aug-cc-pvtz,cp,cp,True
CBH,PBE-D3/aug-cc-pVTZ/CP,10,pbe-d3,pbe-d3,aug-cc-pvtz,aug-cc-pvtz,cp,cp,True
Da2,PBE-D3/aug-cc-pVTZ/CP,11,pbe-d3,pbe-d3,aug-cc-pvtz,aug-cc-pvtz,cp,cp,True
S8-2,PBE-D3/aug-cc-pVTZ/CP,12,pbe-d3,pbe-d3,aug-cc-pvtz,aug-cc-pvtz,cp,cp,True
C2C2PD,wB97X-D/aug-cc-pVTZ/CP,13,wb97x-d,wb97x-d,aug-cc-pvtz,aug-cc-pvtz,cp,cp,True
CBH,wB97X-D/aug-cc-pVTZ/CP,14,wb97x-d,wb97x-d,aug-cc-pvtz,aug-cc-pvtz,cp,cp,True
Da2,wB97X-D/aug-cc-pVTZ/CP,15,wb97x-d,wb97x-d,aug-cc-pvtz,aug-cc-pvtz,cp,cp,True
S8-2,wB97X-D/aug-cc-pVTZ/CP,16,wb97x-d,wb97x-d,aug-cc-pvtz,aug-cc-pvtz,cp,cp,True
C2C2PD,wB97X-V/aug-cc-pVTZ/CP,17,wb97x-v,wb97x-v,aug-cc-pvtz,aug-cc-pvtz,cp,cp,True
C2C2PD,MP2/aug-cc-pVTZ/CP,18,mp2,mp2,aug-cc-pvtz,aug-cc-pvtz,cp,cp,True
