id,Level of Theory,old qcfractal id,new qcfractal id,status,predicted_completion_pct
S8-2,PBE-D3/aug-cc-pVTZ/CP,[160],317,complete,
CBH,wB97X-V/aug-cc-pVTZ/CP,[170],318,complete,
Da2,MP2/aug-cc-pVTZ/CP,[177],319,complete,
S8-2,MP2/aug-cc-pVTZ/CP,[178],320,complete,
2a,B3LYP-D3/aug-cc-pVTZ/CP,[181],321,complete,
Da2,B3LYP-D3/aug-cc-pVTZ/CP,[183],322,complete,
S8-2,B3LYP-D3/aug-cc-pVTZ/CP,[184],323,complete,
C3A,B2PLYP-D3/aug-cc-pVTZ/CP,[185],324,complete,
C2C2PD,B2PLYP-D3/aug-cc-pVTZ/CP,[186],325,error,
2a,B2PLYP-D3/aug-cc-pVTZ/CP,[187],326,complete,
CBH,B2PLYP-D3/aug-cc-pVTZ/CP,[188],327,complete,
Da2,B2PLYP-D3/aug-cc-pVTZ/CP,[189],328,complete,
S8-2,B2PLYP-D3/aug-cc-pVTZ/CP,[190],329,complete,
