id,n_atoms,dimer_tvars,monA_tvars,monB_tvars,Level of Theory,ERROR ESTIMATES (kcal/mol),ESTIMATED CPU TIMES (log10(s)),walltime_seconds,qcfractal id,job status,mb_interaction_energy,mb_wall_time,psi4 output,submitted_unix_time,mb_ie_kcalmol,reference_ie,IE_error_kcalmol,abs_IE_error_kcalmol,old qcfractal id
S8-2,84,[    188    3009 1095497    7054],[   141   2389 915353   5564],[    47    620 230587   1490],PBE-D3/aug-cc-pVTZ/CP,27.93562889099121,3.4563928788383063,2860.176795019881,[317],complete,-0.04440417017121945,,,1781532622.5382988,,-30.79,,,[160]
CBH,112,[    146    3258 1533416    7240],[    73   1629 794963   3620],[    73   1629 794968   3620],wB97X-V/aug-cc-pVTZ/CP,1.1472030878067017,4.113136676878445,12975.875707023088,[318],complete,-0.019354907135038957,,,1781532622.5382988,,-11.06,,,[170]
Da2,88,[    164    2964 1163670    6832],[    82   1482 609882   3416],[    82   1482 609860   3416],MP2/aug-cc-pVTZ/CP,-4.280956745147705,3.6096951841290137,4070.9445237410027,[319],complete,-0.054573185356957765,,,1781532622.5382988,,-20.2,,,[177]
S8-2,84,[    188    3009 1095497    7054],[   141   2389 915353   5564],[    47    620 230587   1490],MP2/aug-cc-pVTZ/CP,-3.3593907356262207,3.7858902207862455,6107.876129524628,[320],complete,-0.06912840998893444,,,1781532622.5382988,,-30.79,,,[178]
2a,92,[    193    3257 1191810    7596],[   141   2481 967396   5748],[    52    776 285682   1848],B3LYP-D3/aug-cc-pVTZ/CP,-2.216435670852661,3.8039423093621196,6367.109361355954,[321],complete,-0.05603936252418862,,,1781532622.5382988,,-34.15,,,[181]
Da2,88,[    164    2964 1163670    6832],[    82   1482 609882   3416],[    82   1482 609860   3416],B3LYP-D3/aug-cc-pVTZ/CP,-1.715919852256775,3.5970404408726213,3954.0343774886114,[322],complete,-0.031512405087823936,,,1781532622.5382988,,-20.2,,,[183]
S8-2,84,[    188    3009 1095497    7054],[   141   2389 915353   5564],[    47    620 230587   1490],B3LYP-D3/aug-cc-pVTZ/CP,0.12265881896018982,3.713853132416452,5174.318197980458,[323],complete,-0.0491829669767867,,,1781532622.5382988,,-30.79,,,[184]
C3A,87,[    206    3267 1130431    7714],[    35    540 216610   1270],[   171   2727 954670   6444],B2PLYP-D3/aug-cc-pVTZ/CP,-1.598939299583435,4.005538510136295,10128.345557753544,[324],complete,-0.027353192695045436,,,1781532622.5382988,,-16.34,,,[185]
C2C2PD,72,[   156   2604 939386   6096],[    78   1302 494790   3048],[    78   1302 494790   3048],B2PLYP-D3/aug-cc-pVTZ/CP,-2.9444501399993896,3.4683401011129797,2939.951060942357,[325],error,,,,1781532622.5382988,,-20.65,,,[186]
2a,92,[    193    3257 1191810    7596],[   141   2481 967396   5748],[    52    776 285682   1848],B2PLYP-D3/aug-cc-pVTZ/CP,-3.857954978942871,3.917221348396738,8264.590665524784,[326],complete,-0.05707605666702875,,,1781532622.5382988,,-34.15,,,[187]
CBH,112,[    146    3258 1533416    7240],[    73   1629 794963   3620],[    73   1629 794968   3620],B2PLYP-D3/aug-cc-pVTZ/CP,-9.887635231018066,3.7192354870394753,5238.844248853463,[327],complete,-0.017851136849230897,,,1781532622.5382988,,-11.06,,,[188]
Da2,88,[    164    2964 1163670    6832],[    82   1482 609882   3416],[    82   1482 609860   3416],B2PLYP-D3/aug-cc-pVTZ/CP,-3.756551742553711,3.652431086623032,4491.910418679708,[328],complete,-0.03371873159539973,,,1781532622.5382988,,-20.2,,,[189]
S8-2,84,[    188    3009 1095497    7054],[   141   2389 915353   5564],[    47    620 230587   1490],B2PLYP-D3/aug-cc-pVTZ/CP,-3.3007757663726807,3.8194171038746836,6598.07281276147,[329],complete,-0.05027547664303711,,,1781532622.5382988,,-30.79,,,[190]
