id,n_atoms,dimer_tvars,monA_tvars,monB_tvars,Level of Theory,ERROR ESTIMATES (kcal/mol),ESTIMATED CPU TIMES (log10(s)),walltime_seconds,qcfractal id,job status,mb_interaction_energy,mb_wall_time,psi4 output
C3A,87,[    206    3267 1130431    7714],[    35    540 216610   1270],[   171   2727 954670   6444],HF/aug-cc-pVTZ/CP,-26.081750869750977,3.624967484005549,4216.649318373241,[1],,,,
C2C2PD,72,[   156   2604 939386   6096],[    78   1302 494790   3048],[    78   1302 494790   3048],HF/aug-cc-pVTZ/CP,-26.298044204711914,3.1087001917714163,1284.399689104898,[2],,,,
2a,92,[    193    3257 1191810    7596],[   141   2481 967396   5748],[    52    776 285682   1848],HF/aug-cc-pVTZ/CP,-69.15465545654297,3.5416056143655785,3480.2113124806024,[3],,,,
CBH,112,[    146    3258 1533416    7240],[    73   1629 794963   3620],[    73   1629 794968   3620],HF/aug-cc-pVTZ/CP,-97.08833312988281,3.344801190509736,2212.0818403250964,[4],,,,
Da2,88,[    164    2964 1163670    6832],[    82   1482 609882   3416],[    82   1482 609860   3416],HF/aug-cc-pVTZ/CP,-46.75223159790039,3.2843156008495646,1924.4897433664553,[5],,,,
S8-2,84,[    188    3009 1095497    7054],[   141   2389 915353   5564],[    47    620 230587   1490],HF/aug-cc-pVTZ/CP,-48.0178108215332,3.44907166186735,2812.3648535413736,[6],,,,
C3A,87,[    206    3267 1130431    7714],[    35    540 216610   1270],[   171   2727 954670   6444],PBE-D3/aug-cc-pVTZ/CP,11.564992904663086,3.5802298729499573,3803.9068460545163,[7],,,,
C2C2PD,72,[   156   2604 939386   6096],[    78   1302 494790   3048],[    78   1302 494790   3048],PBE-D3/aug-cc-pVTZ/CP,20.25238800048828,3.2049589405666805,1603.0938224840077,[8],,,,
2a,92,[    193    3257 1191810    7596],[   141   2481 967396   5748],[    52    776 285682   1848],PBE-D3/aug-cc-pVTZ/CP,24.18235969543457,3.5346703462696274,3425.077054024103,[9],,,,
CBH,112,[    146    3258 1533416    7240],[    73   1629 794963   3620],[    73   1629 794968   3620],PBE-D3/aug-cc-pVTZ/CP,69.33512878417969,3.4588199637339105,2876.2058398183312,[10],,,,
