id,n_atoms,qcel_dimer,qcel_monA,qcel_monB,dimer_tvars,monA_tvars,monB_tvars,Level of Theory,ERROR ESTIMATES (kcal/mol),ESTIMATED CPU TIMES (log10(s)),walltime_seconds
C3A,87,"Molecule(name='C59H23N5', formula='C59H23N5', hash='12e9da1')","Molecule(name='C59H23N5 ([0],[1])', formula='C59H23N5', hash='f0ddb68')","Molecule(name='C59H23N5 ([1],[0])', formula='C59H23N5', hash='7daedc7')",[    206    3267 1130431    7714],[     35    3438 1130431    7714],[    171    3302 1130432    7714],HF/aug-cc-pVTZ/CP,-26.081750869750977,3.7894010065870645,6157.45159700214
C2C2PD,72,"Molecule(name='C48H24', formula='C48H24', hash='5e8f6cf')","Molecule(name='C48H24 ([0],[1])', formula='C48H24', hash='5967c92')","Molecule(name='C48H24 ([1],[0])', formula='C48H24', hash='3b2a658')",[   156   2604 939386   6096],[    78   2682 939386   6096],[    78   2682 939386   6096],HF/aug-cc-pVTZ/CP,-26.298044204711914,3.3946735328786173,2481.2671900410314
2a,92,"Molecule(name='C54H34N4', formula='C54H34N4', hash='a6e197d')","Molecule(name='C54H34N4 ([0],[1])', formula='C54H34N4', hash='4a657d3')","Molecule(name='C54H34N4 ([1],[0])', formula='C54H34N4', hash='4853b5b')",[    193    3257 1191810    7596],[    141    3309 1191810    7596],[     52    3398 1191810    7596],HF/aug-cc-pVTZ/CP,-69.15465545654297,3.75530616036401,5692.54090955431
CBH,112,"Molecule(name='C36H76', formula='C36H76', hash='a263221')","Molecule(name='C36H76 ([0],[1])', formula='C36H76', hash='50a7586')","Molecule(name='C36H76 ([1],[0])', formula='C36H76', hash='b7a82aa')",[    146    3258 1533416    7240],[     73    3331 1533416    7240],[     73    3331 1533414    7240],HF/aug-cc-pVTZ/CP,-97.08833312988281,3.6343771475059046,4309.006483108586
Da2,88,"Molecule(name='C48H40', formula='C48H40', hash='15b6424')","Molecule(name='C48H40 ([0],[1])', formula='C48H40', hash='c7032f6')","Molecule(name='C48H40 ([1],[0])', formula='C48H40', hash='a4dc2e2')",[    164    2964 1163670    6832],[     82    3046 1163670    6832],[     82    3046 1163670    6832],HF/aug-cc-pVTZ/CP,-46.75223159790039,3.5702735381197956,3717.6931233844152
S8-2,84,"Molecule(name='C46FH29N2O6', formula='C46FH29N2O6', hash='6059439')","Molecule(name='C46FH29N2O6 ([0],[1])', formula='C46FH29N2O6', hash='8bccfce')","Molecule(name='C46FH29N2O6 ([1],[0])', formula='C46FH29N2O6', hash='436817b')",[    188    3009 1095497    7054],[    141    3056 1095497    7054],[     47    3150 1095500    7054],HF/aug-cc-pVTZ/CP,-48.0178108215332,3.646815933992002,4434.206701611205
C3A,87,"Molecule(name='C59H23N5', formula='C59H23N5', hash='12e9da1')","Molecule(name='C59H23N5 ([0],[1])', formula='C59H23N5', hash='f0ddb68')","Molecule(name='C59H23N5 ([1],[0])', formula='C59H23N5', hash='7daedc7')",[    206    3267 1130431    7714],[     35    3438 1130431    7714],[    171    3302 1130432    7714],PBE-D3/aug-cc-pVTZ/CP,11.564992904663086,3.850730847208846,7091.381453667215
C2C2PD,72,"Molecule(name='C48H24', formula='C48H24', hash='5e8f6cf')","Molecule(name='C48H24 ([0],[1])', formula='C48H24', hash='5967c92')","Molecule(name='C48H24 ([1],[0])', formula='C48H24', hash='3b2a658')",[   156   2604 939386   6096],[    78   2682 939386   6096],[    78   2682 939386   6096],PBE-D3/aug-cc-pVTZ/CP,20.25238800048828,3.5671144318496384,3690.7483294440435
2a,92,"Molecule(name='C54H34N4', formula='C54H34N4', hash='a6e197d')","Molecule(name='C54H34N4 ([0],[1])', formula='C54H34N4', hash='4a657d3')","Molecule(name='C54H34N4 ([1],[0])', formula='C54H34N4', hash='4853b5b')",[    193    3257 1191810    7596],[    141    3309 1191810    7596],[     52    3398 1191810    7596],PBE-D3/aug-cc-pVTZ/CP,24.18235969543457,3.839959904098456,6917.6710110899785
CBH,112,"Molecule(name='C36H76', formula='C36H76', hash='a263221')","Molecule(name='C36H76 ([0],[1])', formula='C36H76', hash='50a7586')","Molecule(name='C36H76 ([1],[0])', formula='C36H76', hash='b7a82aa')",[    146    3258 1533416    7240],[     73    3331 1533416    7240],[     73    3331 1533414    7240],PBE-D3/aug-cc-pVTZ/CP,69.33512878417969,3.8198287214960662,6604.329329003066
Da2,88,"Molecule(name='C48H40', formula='C48H40', hash='15b6424')","Molecule(name='C48H40 ([0],[1])', formula='C48H40', hash='c7032f6')","Molecule(name='C48H40 ([1],[0])', formula='C48H40', hash='a4dc2e2')",[    164    2964 1163670    6832],[     82    3046 1163670    6832],[     82    3046 1163670    6832],PBE-D3/aug-cc-pVTZ/CP,21.087217330932617,3.7192166093893126,5238.616534885777
S8-2,84,"Molecule(name='C46FH29N2O6', formula='C46FH29N2O6', hash='6059439')","Molecule(name='C46FH29N2O6 ([0],[1])', formula='C46FH29N2O6', hash='8bccfce')","Molecule(name='C46FH29N2O6 ([1],[0])', formula='C46FH29N2O6', hash='436817b')",[    188    3009 1095497    7054],[    141    3056 1095497    7054],[     47    3150 1095500    7054],PBE-D3/aug-cc-pVTZ/CP,27.93562889099121,3.7470746198112606,5585.661584724017
C3A,87,"Molecule(name='C59H23N5', formula='C59H23N5', hash='12e9da1')","Molecule(name='C59H23N5 ([0],[1])', formula='C59H23N5', hash='f0ddb68')","Molecule(name='C59H23N5 ([1],[0])', formula='C59H23N5', hash='7daedc7')",[    206    3267 1130431    7714],[     35    3438 1130431    7714],[    171    3302 1130432    7714],wB97X-D/aug-cc-pVTZ/CP,-0.2609981298446655,4.349793906432408,22376.590100174966
C2C2PD,72,"Molecule(name='C48H24', formula='C48H24', hash='5e8f6cf')","Molecule(name='C48H24 ([0],[1])', formula='C48H24', hash='5967c92')","Molecule(name='C48H24 ([1],[0])', formula='C48H24', hash='3b2a658')",[   156   2604 939386   6096],[    78   2682 939386   6096],[    78   2682 939386   6096],wB97X-D/aug-cc-pVTZ/CP,-0.18373635411262512,3.9911919697738396,9799.230418775878
2a,92,"Molecule(name='C54H34N4', formula='C54H34N4', hash='a6e197d')","Molecule(name='C54H34N4 ([0],[1])', formula='C54H34N4', hash='4a657d3')","Molecule(name='C54H34N4 ([1],[0])', formula='C54H34N4', hash='4853b5b')",[    193    3257 1191810    7596],[    141    3309 1191810    7596],[     52    3398 1191810    7596],wB97X-D/aug-cc-pVTZ/CP,-3.045236587524414,4.326521093750472,21209.044032449
CBH,112,"Molecule(name='C36H76', formula='C36H76', hash='a263221')","Molecule(name='C36H76 ([0],[1])', formula='C36H76', hash='50a7586')","Molecule(name='C36H76 ([1],[0])', formula='C36H76', hash='b7a82aa')",[    146    3258 1533416    7240],[     73    3331 1533416    7240],[     73    3331 1533414    7240],wB97X-D/aug-cc-pVTZ/CP,-12.387368202209473,4.253166050611231,17912.906153155316
Da2,88,"Molecule(name='C48H40', formula='C48H40', hash='15b6424')","Molecule(name='C48H40 ([0],[1])', formula='C48H40', hash='c7032f6')","Molecule(name='C48H40 ([1],[0])', formula='C48H40', hash='a4dc2e2')",[    164    2964 1163670    6832],[     82    3046 1163670    6832],[     82    3046 1163670    6832],wB97X-D/aug-cc-pVTZ/CP,-3.494180679321289,4.164766068081893,14613.897875118118
S8-2,84,"Molecule(name='C46FH29N2O6', formula='C46FH29N2O6', hash='6059439')","Molecule(name='C46FH29N2O6 ([0],[1])', formula='C46FH29N2O6', hash='8bccfce')","Molecule(name='C46FH29N2O6 ([1],[0])', formula='C46FH29N2O6', hash='436817b')",[    188    3009 1095497    7054],[    141    3056 1095497    7054],[     47    3150 1095500    7054],wB97X-D/aug-cc-pVTZ/CP,-1.3761783838272095,4.217597590716159,16504.318297225283
C3A,87,"Molecule(name='C59H23N5', formula='C59H23N5', hash='12e9da1')","Molecule(name='C59H23N5 ([0],[1])', formula='C59H23N5', hash='f0ddb68')","Molecule(name='C59H23N5 ([1],[0])', formula='C59H23N5', hash='7daedc7')",[    206    3267 1130431    7714],[     35    3438 1130431    7714],[    171    3302 1130432    7714],wB97X-V/aug-cc-pVTZ/CP,-0.9794572591781616,4.504220662290379,31931.59867411791
C2C2PD,72,"Molecule(name='C48H24', formula='C48H24', hash='5e8f6cf')","Molecule(name='C48H24 ([0],[1])', formula='C48H24', hash='5967c92')","Molecule(name='C48H24 ([1],[0])', formula='C48H24', hash='3b2a658')",[   156   2604 939386   6096],[    78   2682 939386   6096],[    78   2682 939386   6096],wB97X-V/aug-cc-pVTZ/CP,-1.2275904417037964,4.171383804140489,14838.288272811398
2a,92,"Molecule(name='C54H34N4', formula='C54H34N4', hash='a6e197d')","Molecule(name='C54H34N4 ([0],[1])', formula='C54H34N4', hash='4a657d3')","Molecule(name='C54H34N4 ([1],[0])', formula='C54H34N4', hash='4853b5b')",[    193    3257 1191810    7596],[    141    3309 1191810    7596],[     52    3398 1191810    7596],wB97X-V/aug-cc-pVTZ/CP,0.18686047196388245,4.4901484576227615,30913.519882725785
CBH,112,"Molecule(name='C36H76', formula='C36H76', hash='a263221')","Molecule(name='C36H76 ([0],[1])', formula='C36H76', hash='50a7586')","Molecule(name='C36H76 ([1],[0])', formula='C36H76', hash='b7a82aa')",[    146    3258 1533416    7240],[     73    3331 1533416    7240],[     73    3331 1533414    7240],wB97X-V/aug-cc-pVTZ/CP,1.1472030878067017,4.469759886446757,29495.780075136227
Da2,88,"Molecule(name='C48H40', formula='C48H40', hash='15b6424')","Molecule(name='C48H40 ([0],[1])', formula='C48H40', hash='c7032f6')","Molecule(name='C48H40 ([1],[0])', formula='C48H40', hash='a4dc2e2')",[    164    2964 1163670    6832],[     82    3046 1163670    6832],[     82    3046 1163670    6832],wB97X-V/aug-cc-pVTZ/CP,-0.6145675778388977,4.349165747561905,22344.248235875206
S8-2,84,"Molecule(name='C46FH29N2O6', formula='C46FH29N2O6', hash='6059439')","Molecule(name='C46FH29N2O6 ([0],[1])', formula='C46FH29N2O6', hash='8bccfce')","Molecule(name='C46FH29N2O6 ([1],[0])', formula='C46FH29N2O6', hash='436817b')",[    188    3009 1095497    7054],[    141    3056 1095497    7054],[     47    3150 1095500    7054],wB97X-V/aug-cc-pVTZ/CP,-1.5833591222763062,4.384212097928142,24222.117019973957
C3A,87,"Molecule(name='C59H23N5', formula='C59H23N5', hash='12e9da1')","Molecule(name='C59H23N5 ([0],[1])', formula='C59H23N5', hash='f0ddb68')","Molecule(name='C59H23N5 ([1],[0])', formula='C59H23N5', hash='7daedc7')",[    206    3267 1130431    7714],[     35    3438 1130431    7714],[    171    3302 1130432    7714],MP2/aug-cc-pVTZ/CP,-1.8464860916137695,4.150382690105144,14137.827881158104
C2C2PD,72,"Molecule(name='C48H24', formula='C48H24', hash='5e8f6cf')","Molecule(name='C48H24 ([0],[1])', formula='C48H24', hash='5967c92')","Molecule(name='C48H24 ([1],[0])', formula='C48H24', hash='3b2a658')",[   156   2604 939386   6096],[    78   2682 939386   6096],[    78   2682 939386   6096],MP2/aug-cc-pVTZ/CP,-1.858049750328064,3.7149296700523857,5187.160308955635
2a,92,"Molecule(name='C54H34N4', formula='C54H34N4', hash='a6e197d')","Molecule(name='C54H34N4 ([0],[1])', formula='C54H34N4', hash='4a657d3')","Molecule(name='C54H34N4 ([1],[0])', formula='C54H34N4', hash='4853b5b')",[    193    3257 1191810    7596],[    141    3309 1191810    7596],[     52    3398 1191810    7596],MP2/aug-cc-pVTZ/CP,-5.158796787261963,4.104504318787213,12720.5039976906
CBH,112,"Molecule(name='C36H76', formula='C36H76', hash='a263221')","Molecule(name='C36H76 ([0],[1])', formula='C36H76', hash='50a7586')","Molecule(name='C36H76 ([1],[0])', formula='C36H76', hash='b7a82aa')",[    146    3258 1533416    7240],[     73    3331 1533416    7240],[     73    3331 1533414    7240],MP2/aug-cc-pVTZ/CP,-6.519311428070068,3.968562569505336,9301.705162649192
Da2,88,"Molecule(name='C48H40', formula='C48H40', hash='15b6424')","Molecule(name='C48H40 ([0],[1])', formula='C48H40', hash='c7032f6')","Molecule(name='C48H40 ([1],[0])', formula='C48H40', hash='a4dc2e2')",[    164    2964 1163670    6832],[     82    3046 1163670    6832],[     82    3046 1163670    6832],MP2/aug-cc-pVTZ/CP,-4.280956745147705,3.900414619908713,7950.869401098008
S8-2,84,"Molecule(name='C46FH29N2O6', formula='C46FH29N2O6', hash='6059439')","Molecule(name='C46FH29N2O6 ([0],[1])', formula='C46FH29N2O6', hash='8bccfce')","Molecule(name='C46FH29N2O6 ([1],[0])', formula='C46FH29N2O6', hash='436817b')",[    188    3009 1095497    7054],[    141    3056 1095497    7054],[     47    3150 1095500    7054],MP2/aug-cc-pVTZ/CP,-3.3593907356262207,3.990510975501902,9783.876803121015
C3A,87,"Molecule(name='C59H23N5', formula='C59H23N5', hash='12e9da1')","Molecule(name='C59H23N5 ([0],[1])', formula='C59H23N5', hash='f0ddb68')","Molecule(name='C59H23N5 ([1],[0])', formula='C59H23N5', hash='7daedc7')",[    206    3267 1130431    7714],[     35    3438 1130431    7714],[    171    3302 1130432    7714],B3LYP-D3/aug-cc-pVTZ/CP,0.0862826406955719,4.06447517081855,11600.458929168512
C2C2PD,72,"Molecule(name='C48H24', formula='C48H24', hash='5e8f6cf')","Molecule(name='C48H24 ([0],[1])', formula='C48H24', hash='5967c92')","Molecule(name='C48H24 ([1],[0])', formula='C48H24', hash='3b2a658')",[   156   2604 939386   6096],[    78   2682 939386   6096],[    78   2682 939386   6096],B3LYP-D3/aug-cc-pVTZ/CP,-0.1289186179637909,3.735657567729358,5440.734929088083
2a,92,"Molecule(name='C54H34N4', formula='C54H34N4', hash='a6e197d')","Molecule(name='C54H34N4 ([0],[1])', formula='C54H34N4', hash='4a657d3')","Molecule(name='C54H34N4 ([1],[0])', formula='C54H34N4', hash='4853b5b')",[    193    3257 1191810    7596],[    141    3309 1191810    7596],[     52    3398 1191810    7596],B3LYP-D3/aug-cc-pVTZ/CP,-2.216435670852661,4.05969522789423,11473.481716054808
CBH,112,"Molecule(name='C36H76', formula='C36H76', hash='a263221')","Molecule(name='C36H76 ([0],[1])', formula='C36H76', hash='50a7586')","Molecule(name='C36H76 ([1],[0])', formula='C36H76', hash='b7a82aa')",[    146    3258 1533416    7240],[     73    3331 1533416    7240],[     73    3331 1533414    7240],B3LYP-D3/aug-cc-pVTZ/CP,-4.183959484100342,4.081545363179349,12065.501088877176
Da2,88,"Molecule(name='C48H40', formula='C48H40', hash='15b6424')","Molecule(name='C48H40 ([0],[1])', formula='C48H40', hash='c7032f6')","Molecule(name='C48H40 ([1],[0])', formula='C48H40', hash='a4dc2e2')",[    164    2964 1163670    6832],[     82    3046 1163670    6832],[     82    3046 1163670    6832],B3LYP-D3/aug-cc-pVTZ/CP,-1.715919852256775,3.929122217043419,8494.19480908881
S8-2,84,"Molecule(name='C46FH29N2O6', formula='C46FH29N2O6', hash='6059439')","Molecule(name='C46FH29N2O6 ([0],[1])', formula='C46FH29N2O6', hash='8bccfce')","Molecule(name='C46FH29N2O6 ([1],[0])', formula='C46FH29N2O6', hash='436817b')",[    188    3009 1095497    7054],[    141    3056 1095497    7054],[     47    3150 1095500    7054],B3LYP-D3/aug-cc-pVTZ/CP,0.12265881896018982,3.954888002842921,9013.386677266906
C3A,87,"Molecule(name='C59H23N5', formula='C59H23N5', hash='12e9da1')","Molecule(name='C59H23N5 ([0],[1])', formula='C59H23N5', hash='f0ddb68')","Molecule(name='C59H23N5 ([1],[0])', formula='C59H23N5', hash='7daedc7')",[    206    3267 1130431    7714],[     35    3438 1130431    7714],[    171    3302 1130432    7714],B2PLYP-D3/aug-cc-pVTZ/CP,-1.598939299583435,4.181565206632516,15190.259972767466
C2C2PD,72,"Molecule(name='C48H24', formula='C48H24', hash='5e8f6cf')","Molecule(name='C48H24 ([0],[1])', formula='C48H24', hash='5967c92')","Molecule(name='C48H24 ([1],[0])', formula='C48H24', hash='3b2a658')",[   156   2604 939386   6096],[    78   2682 939386   6096],[    78   2682 939386   6096],B2PLYP-D3/aug-cc-pVTZ/CP,-2.9444501399993896,3.7587780981559966,5738.231935480545
