system,method,predicted_ie_error
2a,HF,46.88
2a,PBE-D3,4.34
2a,MP2,-12.75
2a,B2PLYP-D3,1.31
2a,wB97X-D,-1.26
2a,B3LYP-D3,1.22
2a,wB97X-V,1.83
C2C2PD,HF,36.24
C2C2PD,PBE-D3,3.68
C2C2PD,MP2,-11.65
C2C2PD,B2PLYP-D3,1.22
C2C2PD,wB97X-D,-0.9
C2C2PD,B3LYP-D3,2.13
C2C2PD,wB97X-V,0.66
C3A,HF,22.94
C3A,PBE-D3,3.24
C3A,MP2,-6.06
C3A,B2PLYP-D3,0.47
C3A,wB97X-D,-0.94
C3A,B3LYP-D3,0.37
C3A,wB97X-V,0.19
CBH,HF,19.55
CBH,PBE-D3,-4.29
CBH,MP2,-0.08
CBH,B2PLYP-D3,0.67
CBH,wB97X-D,-3.08
CBH,B3LYP-D3,-2.17
CBH,wB97X-V,0.13
Da2,HF,37.6
Da2,PBE-D3,1.74
Da2,MP2,-7.74
Da2,B2PLYP-D3,1.17
Da2,wB97X-D,-1.69
Da2,B3LYP-D3,0.75
Da2,wB97X-V,0.35
S8-2,HF,40.97
S8-2,PBE-D3,3.92
S8-2,MP2,-8.64
S8-2,B2PLYP-D3,1.43
S8-2,wB97X-D,-0.04
S8-2,B3LYP-D3,0.29
S8-2,wB97X-V,0.55
